1|1 Coríntios|6|19|20
2|1 Coríntios|11|11|11
3|1 Coríntios|15|20|22
4|1 Coríntios|15|40|42
5|1 Néfi|3|7|7
6|1 Pedro|4|6|6
7|2 Tessalonicenses|2|1|3
8|2 Néfi|2|25|25
9|2 Néfi|2|27|27
10|2 Néfi|26|33|33
11|2 Néfi|28|30|30
12|2 Néfi|32|3|3
13|2 Néfi|32|8|9
14|2 Timóteo|3|15|17
15|3 Néfi|11|10|11
16|3 Néfi|12|48|48
17|3 Néfi|27|20|20
18|Abraão|2|9|11
19|Abraão|3|22|23
20|Alma|7|11|13
21|Alma|34|9|10
22|Alma|34|30|32
23|Alma|39|9|9
24|Alma|41|10|10
25|Amós|3|7|7
26|Apocalipse|20|12|12
27|D&C|1|30|30
28|D&C|1|37|38
29|D&C|6|36|36
30|D&C|8|2|3
31|D&C|13|1|1
32|D&C|18|10|11
33|D&C|18|15|16
34|D&C|19|16|19
35|D&C|21|4|6
36|D&C|29|10|11
37|D&C|49|15|17
38|D&C|58|42|43
39|D&C|64|9|11
40|D&C|76|22|24
41|D&C|82|10|10
42|D&C|84|20|22
43|D&C|88|118|118
44|D&C|89|18|21
45|D&C|107|8|8
46|D&C|121|36|36
47|D&C|121|41|42
48|D&C|130|22|23
49|D&C|131|1|4
50|D&C|135|3|3
51|Daniel|2|44|45
52|Efésios|1|10|10
53|Efésios|2|19|20
54|Éter|12|6|6
55|Éter|12|27|27
56|Êxodo|20|3|17
57|Ezequiel|3|16|17
58|Ezequiel|37|15|17
59|Gênesis|1|26|27
60|Gênesis|2|24|24
61|Gênesis|39|9|9
62|Hebreus|12|9|9
63|Helamã|5|12|12
64|Isaías|1|18|18
65|Isaías|5|20|20
66|Isaías|29|13|14
67|Isaías|53|3|5
68|Isaías|58|6|7
69|Isaías|58|13|14
70|Jeremias|1|4|5
71|João|3|5|5
72|João|3|16|16
73|João|7|17|17
74|João|17|3|3
75|Josué|24|15|15
76|JSH|1|15|20
77|Lucas|2|10|12
78|Lucas|22|19|20
79|Lucas|24|36|39
80|Malaquias|3|8|10
81|Malaquias|4|5|6
82|Mateus|5|14|16
83|Mateus|11|28|30
84|Mateus|16|15|19
85|Mateus|22|36|39
86|Moisés|1|39|39
87|Moisés|7|18|18
88|Morôni|7|45|48
89|Morôni|10|4|5
90|Mosias|2|17|17
91|Mosias|2|41|41
92|Mosias|3|19|19
93|Mosias|4|9|9
94|Mosias|18|8|10
95|Provérbios|3|5|6
96|Salmos|24|3|4
97|Tiago|1|5|6
98|Tiago|2|17|18
